timestamp,pair,signal,entry_tag,exit_tag
1672531200000,BTC/USDT,0,,
1672534800000,BTC/USDT,0,,
1672538400000,BTC/USDT,0,,
1672542000000,BTC/USDT,0,,
1672545600000,BTC/USDT,0,,
1672549200000,BTC/USDT,0,,
1672552800000,BTC/USDT,0,,
1672556400000,BTC/USDT,0,,
1672560000000,BTC/USDT,0,,
1672563600000,BTC/USDT,0,,
1672567200000,BTC/USDT,0,,
1672570800000,BTC/USDT,0,,
1672574400000,BTC/USDT,0,,
1672578000000,BTC/USDT,0,,
1672581600000,BTC/USDT,0,,
1672585200000,BTC/USDT,0,,
1672588800000,BTC/USDT,0,,
1672592400000,BTC/USDT,0,,
1672596000000,BTC/USDT,0,,
1672599600000,BTC/USDT,0,,
1672603200000,BTC/USDT,0,,
1672606800000,BTC/USDT,0,,
1672610400000,BTC/USDT,0,,
1672614000000,BTC/USDT,0,,
1672617600000,BTC/USDT,1,oversold_bounce,
1672621200000,BTC/USDT,0,,
1672624800000,BTC/USDT,0,,
1672628400000,BTC/USDT,0,,
1672632000000,BTC/USDT,0,,
1672635600000,BTC/USDT,0,,
1672639200000,BTC/USDT,0,,
1672642800000,BTC/USDT,0,,
1672646400000,BTC/USDT,0,,
1672650000000,BTC/USDT,0,,
1672653600000,BTC/USDT,0,,
1672657200000,BTC/USDT,0,,
1672660800000,BTC/USDT,0,,
1672664400000,BTC/USDT,0,,
1672668000000,BTC/USDT,0,,
1672671600000,BTC/USDT,0,,
1672675200000,BTC/USDT,0,,
1672678800000,BTC/USDT,-1,,tp1_hit
1672682400000,BTC/USDT,0,,
1672686000000,BTC/USDT,0,,
1672689600000,BTC/USDT,0,,
1672693200000,BTC/USDT,0,,
1672696800000,BTC/USDT,0,,
1672700400000,BTC/USDT,0,,
1672704000000,BTC/USDT,2,breakout_short,
1672707600000,BTC/USDT,0,,
1672711200000,BTC/USDT,0,,
1672714800000,BTC/USDT,0,,
1672718400000,BTC/USDT,0,,
1672722000000,BTC/USDT,0,,
1672725600000,BTC/USDT,-2,,tp2_hit
1672729200000,BTC/USDT,1,support_hold,
1672732800000,BTC/USDT,0,,
1672736400000,BTC/USDT,0,,
1672740000000,BTC/USDT,0,,
1672743600000,BTC/USDT,0,,
1672747200000,BTC/USDT,0,,
1672750800000,BTC/USDT,-1,,sl_hit
1672754400000,BTC/USDT,0,,
1672758000000,BTC/USDT,0,,
1672761600000,BTC/USDT,0,,
1672765200000,BTC/USDT,0,,
1672768800000,BTC/USDT,0,,
1672772400000,BTC/USDT,0,,
1672776000000,BTC/USDT,0,,
1672779600000,BTC/USDT,0,,
1672783200000,BTC/USDT,0,,
1672786800000,BTC/USDT,0,,
1672790400000,BTC/USDT,0,,
1672794000000,BTC/USDT,0,,
1672797600000,BTC/USDT,0,,
1672801200000,BTC/USDT,0,,
1672804800000,BTC/USDT,0,,
1672808400000,BTC/USDT,0,,
1672812000000,BTC/USDT,0,,
1672815600000,BTC/USDT,0,,
1672819200000,BTC/USDT,0,,
1672822800000,BTC/USDT,0,,
1672826400000,BTC/USDT,0,,
1672830000000,BTC/USDT,0,,
1672833600000,BTC/USDT,0,,
1672837200000,BTC/USDT,0,,
1672840800000,BTC/USDT,2,breakout_short,
1672844400000,BTC/USDT,0,,
1672848000000,BTC/USDT,-2,,reversal_exit
1672851600000,BTC/USDT,0,,
1672855200000,BTC/USDT,0,,
1672858800000,BTC/USDT,0,,
1672862400000,BTC/USDT,0,,
1672866000000,BTC/USDT,0,,
1672869600000,BTC/USDT,0,,
1672873200000,BTC/USDT,0,,
1672876800000,BTC/USDT,0,,
1672880400000,BTC/USDT,0,,
1672884000000,BTC/USDT,0,,
1672887600000,BTC/USDT,0,,
1672891200000,BTC/USDT,0,,
1672894800000,BTC/USDT,0,,
1672898400000,BTC/USDT,0,,
1672902000000,BTC/USDT,0,,
1672905600000,BTC/USDT,0,,
1672909200000,BTC/USDT,0,,
1672912800000,BTC/USDT,0,,
1672916400000,BTC/USDT,0,,
1672920000000,BTC/USDT,0,,
1672923600000,BTC/USDT,0,,
1672927200000,BTC/USDT,0,,
1672930800000,BTC/USDT,0,,
1672934400000,BTC/USDT,0,,
1672938000000,BTC/USDT,0,,
1672941600000,BTC/USDT,0,,
1672945200000,BTC/USDT,0,,
1672948800000,BTC/USDT,0,,
1672952400000,BTC/USDT,0,,
1672956000000,BTC/USDT,0,,
1672959600000,BTC/USDT,0,,
1672963200000,BTC/USDT,0,,
1672966800000,BTC/USDT,0,,
1672970400000,BTC/USDT,0,,
1672974000000,BTC/USDT,0,,
1672977600000,BTC/USDT,0,,
1672981200000,BTC/USDT,0,,
1672984800000,BTC/USDT,0,,
1672988400000,BTC/USDT,0,,
1672992000000,BTC/USDT,0,,
1672995600000,BTC/USDT,0,,
1672999200000,BTC/USDT,0,,
1673002800000,BTC/USDT,0,,
1673006400000,BTC/USDT,0,,
1673010000000,BTC/USDT,0,,
1673013600000,BTC/USDT,0,,
1673017200000,BTC/USDT,2,resistance_reject,
1673020800000,BTC/USDT,0,,
1673024400000,BTC/USDT,0,,
1673028000000,BTC/USDT,0,,
1673031600000,BTC/USDT,0,,
1673035200000,BTC/USDT,0,,
1673038800000,BTC/USDT,0,,
1673042400000,BTC/USDT,0,,
1673046000000,BTC/USDT,0,,
1673049600000,BTC/USDT,0,,
1673053200000,BTC/USDT,-2,,tp1_hit
1673056800000,BTC/USDT,0,,
1673060400000,BTC/USDT,0,,
1673064000000,BTC/USDT,0,,
1673067600000,BTC/USDT,0,,
1673071200000,BTC/USDT,0,,
1673074800000,BTC/USDT,0,,
1673078400000,BTC/USDT,0,,
1673082000000,BTC/USDT,0,,
1673085600000,BTC/USDT,0,,
1673089200000,BTC/USDT,0,,
1673092800000,BTC/USDT,0,,
1673096400000,BTC/USDT,0,,
1673100000000,BTC/USDT,0,,
1673103600000,BTC/USDT,0,,
1673107200000,BTC/USDT,0,,
1673110800000,BTC/USDT,0,,
1673114400000,BTC/USDT,0,,
1673118000000,BTC/USDT,0,,
1673121600000,BTC/USDT,0,,
1673125200000,BTC/USDT,0,,
1673128800000,BTC/USDT,0,,
1673132400000,BTC/USDT,0,,
1673136000000,BTC/USDT,0,,
1673139600000,BTC/USDT,0,,
1673143200000,BTC/USDT,0,,
1673146800000,BTC/USDT,0,,
1673150400000,BTC/USDT,0,,
1673154000000,BTC/USDT,0,,
1673157600000,BTC/USDT,0,,
1673161200000,BTC/USDT,0,,
1673164800000,BTC/USDT,0,,
1673168400000,BTC/USDT,0,,
1673172000000,BTC/USDT,1,breakout_long,
1673175600000,BTC/USDT,0,,
1673179200000,BTC/USDT,0,,
1673182800000,BTC/USDT,0,,
1673186400000,BTC/USDT,0,,
1673190000000,BTC/USDT,0,,
